"Company Name","Funding Amount","Funding Date","Funding Type","Website","Industries","Location","Rank","Description","LinkedIn Status","Update People Search (Find people Table) - 2026-02-04T15:07:37.739Z","xAI / Get Website and LinkedIn URL","xAI / Website","xAI / LinkedIn URL","xAI / Qualify Company","xAI / Qualification Status"
"Trestle","$3,300,000","Jan 5, 2026","Seed","www.gotrestle.com","Construction, Information Technology, Procurement, SaaS","New York, New York, United States",1793,"Trestle is a construction technology company that unifies fragmented contracting and procurement workflows into a single digital platform.","View on LinkedIn\",,"Response","https://gotrestle.com","https://www.linkedin.com/company/gotrestle","Response","Qualified"
"Genomate Health","$2,000,000","Apr 1, 2025","Seed","www.genomate.health/","Artificial Intelligence (AI), Biotechnology, Health Care, Medical Device, Precision Medicine","Cambridge, Massachusetts, United States",2447,"Genomate Health is a digital health company that develops computational (AI) solutions for personalized medicine.","View on LinkedIn\",,"Response","https://genomate.health","https://www.linkedin.com/company/genomate-health","Response","Qualified"
"Tempo","$3,500,000","Feb 11, 2025","Seed","www.seutempo.com/","Artificial Intelligence (AI), Information Technology, SaaS","Brazil, Indiana, United States",2839,"Tempo is a personalized assistance and payments platform that blends human support with AI to handle daily needs efficiently.","View on LinkedIn\",,"Response","https://www.tempo.new/","https://www.linkedin.com/company/tempolabs","Response","Qualified"
"Bags","$2,750,000","Dec 8, 2025","Seed","www.securebags.com","Financial Services, Funding Platform, Marketing","New York, New York, United States",3206,"Bags is a financial platform that offers bookkeeping, accounting, and funding-support tools for businesses.","View on LinkedIn\",,"Response","https://securebags.com","https://www.linkedin.com/company/securebags","Response","Qualified"
"Orion","$3,500,000","Nov 19, 2025","Seed","www.oriongeo.com","Artificial Intelligence (AI), Geospatial, Government, Machine Learning, National Security, Predictive Analytics, Risk Management","Denver, Colorado, United States",3309,"Orion is a cybersecurity company that offers AI-evolving threat intelligence for risk teams.","View on LinkedIn\",,"Response","https://www.oriongeo.com","https://www.linkedin.com/company/orion-geo","Response","Qualified"
"encoord","$2,000,000","Jan 8, 2026","Seed","encoord.com/","Energy, Software","Denver, Colorado, United States",3454,"encoord provides software tools to plan today's energy systems and their transition to a decarbonized future.","View on LinkedIn\",,"Response","https://www.encoord.com","https://www.linkedin.com/company/encoord","Response","Qualified"
"Anvara","$3,100,000","Jan 14, 2026","Seed","anvara.com","Advertising","New York, New York, United States",3626,"Sponsorship Marketplace","View on LinkedIn\",,"Response","https://www.anvara.com/","https://www.linkedin.com/company/anvara","Response","Qualified"
"RevelAi Health","$3,100,000","Jun 18, 2025","Seed","www.revelaihealth.com","Artificial Intelligence (AI), Generative AI, Health Care, Medical, Primary and Urgent Care","Durham, North Carolina, United States",4548,"Generative AI Health Technology Company","View on LinkedIn\",,"Response","https://revelaihealth.com","https://linkedin.com/company/revelaihealth","Response","Qualified"
"Mobius Materials","$3,000,000","Dec 12, 2025","Seed","www.mobiusmaterials.com","Electronics, Marketplace, Semiconductor, Sustainability, Waste Management","Richmond, Virginia, United States",5306,"Mobius Materials develops and supplies silicon-based materials to improve efficiency in energy storage and semiconductor applications.","View on LinkedIn\",,"Response","https://www.mobiusmaterials.com","https://www.linkedin.com/company/mobius-materials","Response","Qualified"
"Journey Foods","$3,000,000","Jun 8, 2025","Seed","www.journeyfoods.io","Artificial Intelligence (AI), Beauty, Data Visualization, Food Processing, Industrial Automation, Machine Learning, Manufacturing, SaaS, Software, Supply Chain Management","Austin, Texas, United States",6550,"Journey Foods the leading AI -powered Operations Scientist for Supply Chain Management and Product Research, with SaaS and Mobile App tools.","View on LinkedIn\",,"Response","https://www.journeyfoods.io/","https://www.linkedin.com/company/journey-foods","Response","Qualified"
